Record Date,Debt Outstanding Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-09-30,33167334044723.16,1,2023,4,2023,3,09,30
2022-09-30,30928911613306.73,1,2022,4,2022,3,09,30
2021-09-30,28428918570048.68,1,2021,4,2021,3,09,30
2020-09-30,26945391194615.15,1,2020,4,2020,3,09,30
2019-09-30,22719401753433.78,1,2019,4,2019,3,09,30
2018-09-30,21516058183180.23,1,2018,4,2018,3,09,30
2017-09-30,20244900016053.51,1,2017,4,2017,3,09,30
2016-09-30,19573444713936.79,1,2016,4,2016,3,09,30
2015-09-30,18150617666484.33,1,2015,4,2015,3,09,30
2014-09-30,17824071380733.82,1,2014,4,2014,3,09,30
2013-09-30,16738183526697.32,1,2013,4,2013,3,09,30
2012-09-30,16066241407385.89,1,2012,4,2012,3,09,30
2011-09-30,14790340328557.15,1,2011,4,2011,3,09,30
2010-09-30,13561623030891.79,1,2010,4,2010,3,09,30
2009-09-30,11909829003511.75,1,2009,4,2009,3,09,30
2008-09-30,10024724896912.49,1,2008,4,2008,3,09,30
2007-09-30,9007653372262.48,1,2007,4,2007,3,09,30
2006-09-30,8506973899215.23,1,2006,4,2006,3,09,30
2005-09-30,7932709661723.50,1,2005,4,2005,3,09,30
2004-09-30,7379052696330.32,1,2004,4,2004,3,09,30
2003-09-30,6783231062743.62,1,2003,4,2003,3,09,30
2002-09-30,6228235965597.16,1,2002,4,2002,3,09,30
2001-09-30,5807463412200.06,1,2001,4,2001,3,09,30
