Record Date,Debt Limit Description,Debt Limit Class 1 Description,Debt Limit Class 2 Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-10-31,Debt Subject to Limit,Total Public Debt Outstanding,null,26576222.0411906,7123357.54657471,33699579.5877654,1,2024,1,2023,4,10,31
2023-10-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,476.97541005,0,476.97541005,2,2024,1,2023,4,10,31
2023-10-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Unamortized Discount,59055.27905692,51055.62512121,110110.90417813,3,2024,1,2023,4,10,31
2023-10-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Federal Financing Bank,0,5492.216,5492.216,4,2024,1,2023,4,10,31
2023-10-31,Debt Subject to Limit,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,*,0,*,5,2024,1,2023,4,10,31
2023-10-31,Debt Subject to Limit,Total Public Debt Subject to Limit,null,26516689.9959878,7066809.7054535,33583499.7014413,6,2024,1,2023,4,10,31
2023-10-31,Debt Subject to Limit,Statutory Debt Limit,null,null,null,0,7,2024,1,2023,4,10,31
2023-10-31,Debt Subject to Limit,Balance of Statutory Debt Limit,null,null,null,0,8,2024,1,2023,4,10,31
2023-09-30,Debt Subject to Limit,Total Public Debt Outstanding,null,26330141.8529561,6837191.97250122,33167333.8254573,1,2023,4,2023,3,09,30
2023-09-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,477.08081105,0,477.08081105,2,2023,4,2023,3,09,30
2023-09-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Unamortized Discount,56829.36056069,34059.81735948,90889.17792017,3,2023,4,2023,3,09,30
2023-09-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Federal Financing Bank,0,5492.216,5492.216,4,2023,4,2023,3,09,30
2023-09-30,Debt Subject to Limit,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,*,0,*,5,2023,4,2023,3,09,30
2023-09-30,Debt Subject to Limit,Total Public Debt Subject to Limit,null,26272835.6208485,6797639.93914174,33070475.5599902,6,2023,4,2023,3,09,30
2023-09-30,Debt Subject to Limit,Statutory Debt Limit,null,null,null,0,7,2023,4,2023,3,09,30
2023-09-30,Debt Subject to Limit,Balance of Statutory Debt Limit,null,null,null,0,8,2023,4,2023,3,09,30
2023-08-31,Debt Subject to Limit,Total Public Debt Outstanding,null,26044050.6237621,6870098.65920411,32914149.2829662,1,2023,4,2023,3,08,31
2023-08-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,477.19751505,0,477.19751505,2,2023,4,2023,3,08,31
2023-08-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Unamortized Discount,57563.05371909,31553.52091657,89116.57463566,3,2023,4,2023,3,08,31
2023-08-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Federal Financing Bank,0,5492.216,5492.216,4,2023,4,2023,3,08,31
2023-08-31,Debt Subject to Limit,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,*,0,*,5,2023,4,2023,3,08,31
2023-08-31,Debt Subject to Limit,Total Public Debt Subject to Limit,null,25986010.5817921,6833052.92228754,32819063.5040796,6,2023,4,2023,3,08,31
2023-08-31,Debt Subject to Limit,Statutory Debt Limit,null,null,null,0,7,2023,4,2023,3,08,31
2023-08-31,Debt Subject to Limit,Balance of Statutory Debt Limit,null,null,null,0,8,2023,4,2023,3,08,31
2023-07-31,Debt Subject to Limit,Total Public Debt Outstanding,null,25708799.2637481,6899785.84585635,32608585.1096044,1,2023,4,2023,3,07,31
2023-07-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,477.29467505,0,477.29467505,2,2023,4,2023,3,07,31
2023-07-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Unamortized Discount,52687.72307848,30290.27925682,82978.0023353,3,2023,4,2023,3,07,31
2023-07-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Federal Financing Bank,0,5492.216,5492.216,4,2023,4,2023,3,07,31
2023-07-31,Debt Subject to Limit,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,*,0,*,5,2023,4,2023,3,07,31
2023-07-31,Debt Subject to Limit,Total Public Debt Subject to Limit,null,25655634.4552587,6864003.35059953,32519637.8058582,6,2023,4,2023,3,07,31
2023-07-31,Debt Subject to Limit,Statutory Debt Limit,null,null,null,0,7,2023,4,2023,3,07,31
2023-07-31,Debt Subject to Limit,Balance of Statutory Debt Limit,null,null,null,0,8,2023,4,2023,3,07,31
2023-06-30,Debt Subject to Limit,Total Public Debt Outstanding,null,25461998.1822797,6870275.99770715,32332274.1799868,1,2023,3,2023,2,06,30
2023-06-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,477.34170905,0,477.34170905,2,2023,3,2023,2,06,30
2023-06-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Unamortized Discount,52612.69708426,29385.9922394,81998.68932366,3,2023,3,2023,2,06,30
2023-06-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Federal Financing Bank,0,5492.216,5492.216,4,2023,3,2023,2,06,30
2023-06-30,Debt Subject to Limit,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,*,0,*,5,2023,3,2023,2,06,30
2023-06-30,Debt Subject to Limit,Total Public Debt Subject to Limit,null,25408908.3527505,6835397.78946775,32244306.1422183,6,2023,3,2023,2,06,30
2023-06-30,Debt Subject to Limit,Statutory Debt Limit,null,null,null,0,7,2023,3,2023,2,06,30
2023-06-30,Debt Subject to Limit,Balance of Statutory Debt Limit,null,null,null,0,8,2023,3,2023,2,06,30
2023-05-31,Debt Subject to Limit,Total Public Debt Outstanding,null,24630686.2480428,6833771.18210943,31464457.4301522,1,2023,3,2023,2,05,31
2023-05-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,477.37628605,0,477.37628605,2,2023,3,2023,2,05,31
2023-05-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Unamortized Discount,46880.95642195,28939.40618742,75820.36260937,3,2023,3,2023,2,05,31
2023-05-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Federal Financing Bank,0,6722.147,6722.147,4,2023,3,2023,2,05,31
2023-05-31,Debt Subject to Limit,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,*,0,*,5,2023,3,2023,2,05,31
2023-05-31,Debt Subject to Limit,Total Public Debt Subject to Limit,null,24583328.1245989,6798109.62892201,31381437.7535209,6,2023,3,2023,2,05,31
2023-05-31,Debt Subject to Limit,Statutory Debt Limit,null,null,null,31381463,7,2023,3,2023,2,05,31
2023-05-31,Debt Subject to Limit,Balance of Statutory Debt Limit,null,null,null,25.2464790791273,8,2023,3,2023,2,05,31
2023-04-30,Debt Subject to Limit,Total Public Debt Outstanding,null,24605068.0005365,6852747.02584893,31457815.0263855,1,2023,3,2023,2,04,30
2023-04-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,477.40431205,0,477.40431205,2,2023,3,2023,2,04,30
2023-04-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Unamortized Discount,43092.87548694,27959.77098932,71052.64647626,3,2023,3,2023,2,04,30
2023-04-30,Debt Subject to Limit,Less Debt Not Subject to Limit,Federal Financing Bank,0,4847.018,4847.018,4,2023,3,2023,2,04,30
2023-04-30,Debt Subject to Limit,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,*,0,*,5,2023,3,2023,2,04,30
2023-04-30,Debt Subject to Limit,Total Public Debt Subject to Limit,null,24561497.9300017,6819940.23685961,31381438.1668613,6,2023,3,2023,2,04,30
2023-04-30,Debt Subject to Limit,Statutory Debt Limit,null,null,null,31381463,7,2023,3,2023,2,04,30
2023-04-30,Debt Subject to Limit,Balance of Statutory Debt Limit,null,null,null,24.8331386856735,8,2023,3,2023,2,04,30
2023-03-31,Debt Subject to Limit,Total Public Debt Outstanding,null,24693515.0244814,6764922.62123536,31458437.6457168,1,2023,2,2023,1,03,31
2023-03-31,Debt Subject to Limit,Less Debt Not Subject to Limit,Other Debt,477.44243705,0,477.44243705,2,2023,2,2023,1,03,31
