Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-10-31,Marketable,Bills,5455834.5233,1163.89,5456998.4133,1,2024,1,2023,4,10,31
2023-10-31,Marketable,Notes,13757646.7626,4660.4253,13762307.1879,2,2024,1,2023,4,10,31
2023-10-31,Marketable,Bonds,4286041.0137,6884.4592,4292925.4729,3,2024,1,2023,4,10,31
2023-10-31,Marketable,Treasury Inflation-Protected Securities,1965435.17055042,856.10990894,1966291.28045936,4,2024,1,2023,4,10,31
2023-10-31,Marketable,Floating Rate Notes,519441.7049,10.67,519452.3749,5,2024,1,2023,4,10,31
2023-10-31,Marketable,Federal Financing Bank,0,5492.206,5492.206,6,2024,1,2023,4,10,31
2023-10-31,Total Marketable,_,25984399.1750504,19067.76040894,26003466.9354593,7,2024,1,2023,4,10,31
2023-10-31,Nonmarketable,Domestic Series,22461.0106173,0,22461.0106173,8,2024,1,2023,4,10,31
2023-10-31,Nonmarketable,State and Local Government Series,93001.17430793,0,93001.17430793,9,2024,1,2023,4,10,31
2023-10-31,Nonmarketable,United States Savings Securities,174128.10214731,0,174128.10214731,10,2024,1,2023,4,10,31
2023-10-31,Nonmarketable,Government Account Series,298122.83883364,7104290.78616577,7402412.62499941,11,2024,1,2023,4,10,31
2023-10-31,Nonmarketable,Other,4109.74023406,0,4109.74023406,12,2024,1,2023,4,10,31
2023-10-31,Total Nonmarketable,_,591822.86614024,7104290.78616577,7696112.65230601,13,2024,1,2023,4,10,31
2023-10-31,Total Public Debt Outstanding,_,26576222.0411906,7123357.54657471,33699579.5877654,14,2024,1,2023,4,10,31
2023-09-30,Marketable,Bills,5259329.3914,1077.533,5260406.9244,1,2023,4,2023,3,09,30
2023-09-30,Marketable,Notes,13724903.9618,4582.3143,13729486.2761,2,2023,4,2023,3,09,30
2023-09-30,Marketable,Bonds,4240162.2929,6763.986,4246926.2789,3,2023,4,2023,3,09,30
2023-09-30,Marketable,Treasury Inflation-Protected Securities,1934946.80280006,868.00178095,1935814.80458101,4,2023,4,2023,3,09,30
2023-09-30,Marketable,Floating Rate Notes,575538.7908,17.37,575556.1608,5,2023,4,2023,3,09,30
2023-09-30,Marketable,Federal Financing Bank,0,5492.206,5492.206,6,2023,4,2023,3,09,30
2023-09-30,Total Marketable,_,25734881.2397,18801.41108095,25753682.650781,7,2023,4,2023,3,09,30
2023-09-30,Nonmarketable,Domestic Series,22417.55309802,0,22417.55309802,8,2023,4,2023,3,09,30
2023-09-30,Nonmarketable,State and Local Government Series,94168.98467131,0,94168.98467131,9,2023,4,2023,3,09,30
2023-09-30,Nonmarketable,United States Savings Securities,175702.2299617,0,175702.2299617,10,2023,4,2023,3,09,30
2023-09-30,Nonmarketable,Government Account Series,298893.44449064,6818389.56142027,7117284.00591091,11,2023,4,2023,3,09,30
2023-09-30,Nonmarketable,Other,4079.40103438,0,4079.40103438,12,2023,4,2023,3,09,30
2023-09-30,Total Nonmarketable,_,595260.61325605,6818389.56142027,7413651.17467632,13,2023,4,2023,3,09,30
2023-09-30,Total Public Debt Outstanding,_,26330141.8529561,6837191.97250122,33167333.8254573,14,2023,4,2023,3,09,30
2023-08-31,Marketable,Bills,5072860.2439,1062.168,5073922.4119,1,2023,4,2023,3,08,31
2023-08-31,Marketable,Notes,13697858.6289,4688.6406,13702547.2695,2,2023,4,2023,3,08,31
2023-08-31,Marketable,Bonds,4220197.8611,6729.4072,4226927.2683,3,2023,4,2023,3,08,31
2023-08-31,Marketable,Treasury Inflation-Protected Securities,1916258.26639279,859.63896855,1917117.90536134,4,2023,4,2023,3,08,31
2023-08-31,Marketable,Floating Rate Notes,551539.5097,16.45,551555.9597,5,2023,4,2023,3,08,31
2023-08-31,Marketable,Federal Financing Bank,0,5492.206,5492.206,6,2023,4,2023,3,08,31
2023-08-31,Total Marketable,_,25458714.5099928,18848.51076855,25477563.0207613,7,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,Domestic Series,22378.3694448,0,22378.3694448,8,2023,4,2023,3,08,31
